Species
Zootermopsis nevadensis
Bombus pascuorum (replaced with Thoracobombus)
Leptopilina boulardi (replaced with Leptopilina)
Leptopilina heterotoma (replaced with Leptopilina)
Ceratosolen solmsi marchali (replaced with Ceratosolen solmsi)
Cephus cinctus (replaced with Cephus)
Diprion similis (replaced with Diprion)
Sitophilus oryzae (replaced with Sitophilus)
Cylas formicarius (replaced with Cylas)
Tribolium madens (replaced with Tribolium castaneum)
Ctenocephalides felis (replaced with Ctenocephalides)
Drosophila sulfurigaster albostrigata (replaced with Drosophila sulfurigaster)
Drosophila subpulchrella (replaced with Drosophila suzukii)
Glossina fuscipes (replaced with Glossina palpalis)
Bradysia coprophila (replaced with Bradysia amoena)
Culicoides brevitarsis (replaced with Culicoides imicola)
Uranotaenia lowii (replaced with Uranotaenia sapphirina)
Anopheles marshallii (replaced with Myzomyia)
Melanaphis sacchari (replaced with Melanaphis luzulella)
Thrips palmi (replaced with Thrips)
Ischnura elegans (replaced with Ischnura)


Insuffient data
Leptinotarsa decemlineata (insufficient data in TimeTree to place this taxon)
Harmonia axyridis (insufficient data in TimeTree to place this taxon)
Cydia strobilella (insufficient data in TimeTree to place this taxon)
Apis laboriosa (insufficient data in TimeTree to place this taxon)
Neocloeon triangulifer (insufficient data in TimeTree to place this taxon)
Anopheles stephensi (insufficient data in TimeTree to place this taxon)
Neodiprion fabricii (insufficient data in TimeTree to place this taxon)
Diachasmimorpha longicaudata (insufficient data in TimeTree to place this taxon)
Topomyia yanbarensis (insufficient data in TimeTree to place this taxon)
Photinus pyralis (insufficient data in TimeTree to place this taxon)
Anopheles coustani (insufficient data in TimeTree to place this taxon)
Euwallacea similis (insufficient data in TimeTree to place this taxon)
Vespula pensylvanica (insufficient data in TimeTree to place this taxon)
Anopheles albimanus (insufficient data in TimeTree to place this taxon)
Contarinia nasturtii (insufficient data in TimeTree to place this taxon)
Ostrinia furnacalis (insufficient data in TimeTree to place this taxon)
Leguminivora glycinivorella (insufficient data in TimeTree to place this taxon)
Polistes fuscatus (insufficient data in TimeTree to place this taxon)
Achroia grisella (insufficient data in TimeTree to place this taxon)
Schistocerca cancellata (insufficient data in TimeTree to place this taxon)
Diorhabda sublineata (insufficient data in TimeTree to place this taxon)
Cotesia glomerata (insufficient data in TimeTree to place this taxon)
Neodiprion pinetum (insufficient data in TimeTree to place this taxon)
Atta colombica (insufficient data in TimeTree to place this taxon)
Pectinophora gossypiella (insufficient data in TimeTree to place this taxon)
Vespa crabro (insufficient data in TimeTree to place this taxon)
Vespula vulgaris (insufficient data in TimeTree to place this taxon)
Eupeodes corollae (insufficient data in TimeTree to place this taxon)
Anthonomus grandis grandis (insufficient data in TimeTree to place this taxon)
Anopheles merus (insufficient data in TimeTree to place this taxon)
Schistocerca americana (insufficient data in TimeTree to place this taxon)
Diorhabda carinulata (insufficient data in TimeTree to place this taxon)
Polistes dominula (insufficient data in TimeTree to place this taxon)
Anopheles nili (insufficient data in TimeTree to place this taxon)
Cydia amplana (insufficient data in TimeTree to place this taxon)
Prorops nasuta (insufficient data in TimeTree to place this taxon)
Polistes canadensis (insufficient data in TimeTree to place this taxon)
Rhagoletis zephyria (insufficient data in TimeTree to place this taxon)
Nomia melanderi (insufficient data in TimeTree to place this taxon)
Hylaeus volcanicus (insufficient data in TimeTree to place this taxon)
Homalodisca vitripennis (insufficient data in TimeTree to place this taxon)
Condylostylus longicornis (insufficient data in TimeTree to place this taxon)
Phymastichus coffea (insufficient data in TimeTree to place this taxon)
Anopheles aquasalis (insufficient data in TimeTree to place this taxon)
Coccinella septempunctata (insufficient data in TimeTree to place this taxon)
Schistocerca piceifrons (insufficient data in TimeTree to place this taxon)
Anastrepha ludens (insufficient data in TimeTree to place this taxon)
Toxorhynchites rutilus septentrionalis (insufficient data in TimeTree to place this taxon)
Dalotia coriaria (insufficient data in TimeTree to place this taxon)
Cydia splendana (insufficient data in TimeTree to place this taxon)
Anopheles bellator (insufficient data in TimeTree to place this taxon)
Anopheles maculipalpis (insufficient data in TimeTree to place this taxon)
Ochlerotatus camptorhynchus (insufficient data in TimeTree to place this taxon)
Anastrepha obliqua (insufficient data in TimeTree to place this taxon)
Anopheles ziemanni (insufficient data in TimeTree to place this taxon)
Microplitis mediator (insufficient data in TimeTree to place this taxon)
Cloeon dipterum (insufficient data in TimeTree to place this taxon)
Schistocerca serialis cubense (insufficient data in TimeTree to place this taxon)
Vespa mandarinia (insufficient data in TimeTree to place this taxon)
Zophobas morio (insufficient data in TimeTree to place this taxon)
Hylaeus anthracinus (insufficient data in TimeTree to place this taxon)
Macrosteles quadrilineatus (insufficient data in TimeTree to place this taxon)
Lutzomyia longipalpis (insufficient data in TimeTree to place this taxon)
Cydia fagiglandana (insufficient data in TimeTree to place this taxon)
Phlebotomus argentipes (insufficient data in TimeTree to place this taxon)
Eurosta solidaginis (insufficient data in TimeTree to place this taxon)
Sitodiplosis mosellana (insufficient data in TimeTree to place this taxon)
Schistocerca nitens (insufficient data in TimeTree to place this taxon)
Ostrinia nubilalis (insufficient data in TimeTree to place this taxon)
Vespa velutina (insufficient data in TimeTree to place this taxon)
Aphidius gifuensis (insufficient data in TimeTree to place this taxon)


Species to drop:
NC_071502.1
NW_026998704.1
133_R_NC_051847.1 Teleopsis dalmanni
136_NW_023994734.1
138_NC_050738.1
152_NW_022197544.1
165_NC_036193.1
176_R_NW_017259490.1 Atta colombica
180_NW_016907910.1
190_NW_012026787.1
